assumed_stay,assumed_beta,mean_uplift,uplift_std,uplift_ci_low,uplift_ci_high,brier_score,log_loss,map_accuracy
0.7,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.3390625
0.7,0.05,1.5819833224759354,5.618358673544324,0.3508061947059109,2.81316045024596,0.2497595394681314,0.6926662567718352,0.3390625
0.7,0.1,1.7688770706181216,7.41975525927239,0.14295151127594696,3.3948026299602962,0.24907723387102165,0.6913014848781973,0.3390625
0.7,0.15,2.6643134371482637,8.479137739693678,0.8062404562474437,4.522386418049084,0.24806549788013932,0.6892765154269884,0.3390625
0.7,0.2,4.278679628273305,9.212176015780596,2.2599725526594034,6.297386703887206,0.24689310912343765,0.6869255249893611,0.3390625
0.7,0.3,5.862568026402023,10.520410726481348,3.5571813799102596,8.167954672893787,0.24484219022414777,0.682779158042832,0.3396375
0.7,0.4,5.855749224497235,10.82145690495539,3.4843929255008916,8.227105523493579,0.24429700953902964,0.681627219300166,0.381475
0.8,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.3390625
0.8,0.05,1.6898048192582906,6.411704537020922,0.2847781140088761,3.094831524507705,0.24950741623767075,0.6921619918206044,0.3390625
0.8,0.1,3.7770263060885596,9.979423341740771,1.5901887471872729,5.963863864989847,0.24819106468244795,0.6895281722127209,0.3390625
0.8,0.15,6.139499578354477,10.27379071294756,3.8881559251203135,8.39084323158864,0.24645590668157658,0.6860492783242075,0.33915
0.8,0.2,7.050874743494253,10.634696190663796,4.720444190460787,9.381305296527719,0.24477195370844335,0.6826541502935577,0.3716875
0.8,0.3,8.596103242107295,10.634479288102346,6.265720219943274,10.926486264271317,0.2429715958306252,0.6789566784023683,0.42026250000000004
0.8,0.4,8.475319244928192,11.501787794196966,5.954878866609218,10.995759623247167,0.2443665163993428,0.681928460372115,0.43235
0.86,0.0,0.0,0.0,0.0,0.0,0.25,0.6931471805599454,0.3390625
0.86,0.05,3.0832473672582497,9.435204522121555,1.0156670153366827,5.150827719179817,0.249175696761945,0.6914984780774567,0.3390625
0.86,0.1,6.422681350929277,11.382512988270516,3.9283782168676566,8.916984484990897,0.2471572118277363,0.6874573182857364,0.3577375
0.86,0.15,7.256105838404634,11.981705275331862,4.630498905167666,9.881712771641602,0.244859053631561,0.6828360409442107,0.4230875
0.86,0.2,9.084489578144137,12.670975871358335,6.307839565961684,11.861139590326589,0.24304162368541457,0.6791428604539054,0.46042500000000003
0.86,0.3,11.501544063080775,12.617710954240156,8.736566240496552,14.266521885664998,0.24231466460703652,0.6776390753276351,0.4753375
0.86,0.4,10.466205115785204,12.71329875775123,7.680280692206857,13.252129539363551,0.24578313499151622,0.685491297246665,0.46255000000000007
